LineId,smonth,sday,shour,ip,id,id2,month,day,hour,city,type,Content,EventId,EventTemplate
21,Oct,3,16:15:00,200.74.216.13,309:,000648:,Oct,3,16:16:01.919,CCS:,%SYS-6-LOGOUT:,User admer has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
22,Oct,4,21:01:55,200.74.216.13,318:,000722:,Oct,4,21:02:58.242,CCS:,%SYS-6-LOGOUT:,User admcod has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
23,Oct,3,21:02:03,200.74.216.13,311:,000657:,Oct,3,21:03:05.102,CCS:,%SYS-6-LOGOUT:,User admcod has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
24,Oct,4,22:26:30,200.74.216.13,319:,000726:,Oct,4,22:27:33.076,CCS:,%BGP-6-BIGCHUNK:,Big chunk pool request (348) for community. Replenishing with malloc,ef34edd1,Big chunk pool request (348) for community. Replenishing with malloc
25,Oct,4,11:20:42,200.74.216.13,313:,000683:,Oct,4,11:21:44.962,CCS:,%SYS-6-TTY_EXPIRE_TIMER:,"(exec timer expired, tty 1 (200.74.215.2)), user admer",d3ad8985,"(exec timer expired, tty 1 (200.74.215.2)), user admer"
26,Oct,5,10:23:48,200.74.216.13,321:,000737:,Oct,5,10:24:52.092,CCS:,%DUAL-5-NBRCHANGE:,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency,4e4579fe,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency
27,Oct,6,05:10:20,200.74.216.13,333:,000776:,Oct,6,05:11:24.647,CCS:,%DUAL-5-NBRCHANGE:,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency,4e4579fe,EIGRP-IPv4 2016: Neighbor 172.30.2.1 (GigabitEthernet3/8.3020) is up: new adjacency
28,Oct,5,11:48:11,200.74.216.13,322:,000739:,Oct,5,11:49:15.222,CCS:,%SEC_LOGIN-5-LOGIN_SUCCESS:,Login Success [user: admer] [Source: 200.74.215.2] [localport: 22] at 11:49:15 CCS Fri Oct 5 2018,0bee83ca,Login Success [user: <*> [Source: 200.74.215.2] [localport: 22] at <*> CCS <*> Oct <*> 2018
29,Oct,7,21:00:03,200.74.216.13,336:,000870:,Oct,7,21:01:08.606,CCS:,%SEC_LOGIN-5-LOGIN_SUCCESS:,Login Success [user: admcod] [Source: 200.74.215.2] [localport: 22] at 21:01:08 CCS Sun Oct 7 2018,0bee83ca,Login Success [user: <*> [Source: 200.74.215.2] [localport: 22] at <*> CCS <*> Oct <*> 2018
30,Oct,5,11:48:49,200.74.216.13,323:,000740:,Oct,5,11:49:52.687,CCS:,%SYS-5-CONFIG_I:,Configured from console by admer on vty0 (200.74.215.2),e8c6e941,Configured from console by admer on vty0 (200.74.215.2)
31,Oct,5,12:36:13,200.74.216.13,325:,000743:,Oct,5,12:37:16.510,CCS:,%SYS-6-LOGOUT:,User admer has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
32,Oct,5,21:00:41,200.74.216.13,329:,000760:,Oct,5,21:01:45.265,CCS:,%SYS-6-LOGOUT:,User admcod has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
33,Oct,18,09:15:23,200.74.216.13,537:,001542:,Oct,18,09:16:37.600,CCS:,%SYS-6-LOGOUT:,User admsandovald has exited tty session 1(200.74.215.2),10b52bd2,User <*> has exited tty session 1(200.74.215.2)
